,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Year,Round
0,Duke,39,35,4,0.897,32.18,11.98,13.0,3.0,13,2,9,1,3538,2750,0.0,1217,2530,0.481,407,1057,0.385,697,1002,0.696,538.0,1505,701,411,196,531.0,659.0,1,0
1,Connecticut,31,23,8,0.742,18.82,7.62,13.0,3.0,14,3,7,3,2419,2072,0.0,862,1872,0.46,154,486,0.317,541,773,0.7,478.0,1412,531,189,275,468.0,492.0,4,0
2,Duke,37,32,5,0.865,24.51,8.32,13.0,3.0,17,0,6,4,2993,2394,1480.0,1040,2206,0.471,291,778,0.374,622,826,0.753,446.0,1399,529,269,162,447.0,657.0,10,0
3,Michigan State,33,28,5,0.848,25.12,9.54,13.0,3.0,17,0,7,3,2553,2039,0.0,957,1957,0.489,146,453,0.322,493,686,0.719,514.0,1404,579,210,133,451.0,611.0,0,0
4,Florida,40,35,5,0.875,23.82,7.34,13.0,3.0,18,0,5,4,3193,2504,0.0,1125,2138,0.526,297,727,0.409,646,936,0.69,447.0,1504,614,266,194,565.0,626.0,6,0
5,Kentucky,33,21,12,0.636,13.94,5.78,12.0,6.0,16,2,4,8,2396,2127,1330.0,863,1815,0.475,184,532,0.346,486,757,0.642,379.0,1163,441,185,217,430.0,566.0,12,0
6,Connecticut,34,20,14,0.588,12.27,8.07,8.0,10.0,13,4,3,7,2336,2193,1375.0,858,1900,0.452,185,557,0.332,435,657,0.662,415.0,1151,457,199,233,418.0,492.0,11,0
7,North Carolina,37,20,17,0.541,10.14,9.83,5.0,11.0,14,5,4,8,2758,2661,1491.0,1012,2292,0.442,176,536,0.328,558,854,0.653,556.0,1552,577,250,210,562.0,564.0,9,0
8,North Carolina,31,23,8,0.742,18.48,7.77,12.0,4.0,14,5,8,2,2460,2128,1240.0,863,1809,0.477,215,573,0.375,519,733,0.708,432.0,1237,552,242,127,512.0,531.0,5,0
9,Syracuse,31,23,8,0.742,13.06,7.61,11.0,5.0,14,3,6,3,2265,2096,1245.0,847,1827,0.464,141,430,0.328,430,669,0.643,423.0,1180,465,235,205,396.0,554.0,3,0
10,Duke,36,25,11,0.694,19.23,10.59,11.0,7.0,15,3,5,4,2920,2609,1450.0,983,2136,0.46,328,851,0.385,626,866,0.723,426.0,1296,478,226,154,354.0,603.0,15,0
11,Louisville,37,31,6,0.838,24.69,4.8,15.0,3.0,16,2,9,2,2998,2262,1480.0,1051,2232,0.471,288,783,0.368,608,920,0.661,503.0,1396,568,370,173,391.0,723.0,13,0
12,Kansas,35,27,8,0.771,18.02,7.9,14.0,2.0,18,0,6,4,2674,2290,1405.0,945,1979,0.478,217,585,0.371,567,782,0.725,421.0,1371,555,239,155,508.0,664.0,8,0
13,Maryland,31,21,10,0.677,20.56,7.56,11.0,5.0,14,2,4,5,2472,2069,1250.0,901,1940,0.464,204,523,0.39,466,654,0.713,409.0,1241,573,322,198,431.0,588.0,2,0
14,Florida,36,24,12,0.667,12.34,4.98,8.0,8.0,18,4,4,6,2791,2433,0.0,1029,2108,0.488,272,749,0.363,461,658,0.701,427.0,1297,629,223,111,453.0,583.0,7,0
15,Connecticut,35,20,15,0.571,8.28,4.22,10.0,8.0,11,5,4,7,2243,2101,1405.0,800,1824,0.439,226,637,0.355,417,590,0.707,331.0,1178,416,166,183,404.0,573.0,14,0
16,UCLA,36,30,6,0.833,20.9,9.84,15.0,3.0,16,0,6,4,2503,2081,0.0,923,1922,0.48,240,638,0.376,417,630,0.662,386.0,1158,507,263,116,440.0,569.0,6,1
17,Butler,38,28,10,0.737,11.53,5.02,13.0,5.0,12,2,7,6,2707,2437,1540.0,919,2122,0.433,289,822,0.352,580,799,0.726,431.0,1337,452,226,61,416.0,718.0,10,1
18,Kentucky,39,38,1,0.974,28.72,8.67,18.0,0.0,19,0,10,0,2900,2118,1575.0,1006,2150,0.468,203,582,0.349,685,943,0.726,491.0,1482,553,253,268,408.0,665.0,14,1
19,Arizona,36,28,8,0.778,26.84,12.56,15.0,3.0,13,2,7,5,2926,2386,0.0,1015,2131,0.476,193,544,0.355,703,940,0.748,487.0,1433,585,283,159,546.0,630.0,1,1
20,Kansas,33,24,9,0.727,17.1,9.44,12.0,4.0,13,1,5,5,2503,2218,1330.0,895,1923,0.465,188,562,0.335,525,743,0.707,409.0,1303,572,232,165,485.0,661.0,3,1
21,Michigan,37,28,9,0.757,18.52,9.65,15.0,3.0,13,2,7,4,2736,2408,1490.0,945,1982,0.477,319,794,0.402,527,691,0.763,316.0,1160,525,191,88,336.0,527.0,13,1
22,Memphis,37,33,4,0.892,20.92,4.63,16.0,0.0,19,1,10,1,2779,2176,1485.0,979,2176,0.45,222,681,0.326,599,868,0.69,498.0,1452,526,328,222,464.0,654.0,8,1
23,Butler,37,22,15,0.595,2.86,1.14,11.0,7.0,13,6,7,9,2352,2245,1495.0,823,2014,0.409,183,651,0.281,523,806,0.649,468.0,1201,454,239,123,485.0,715.0,11,1
24,Wisconsin,35,22,13,0.629,13.4,9.4,12.0,6.0,13,5,6,5,2373,2233,1410.0,816,1917,0.426,229,656,0.349,512,728,0.703,398.0,1228,400,205,114,386.0,588.0,15,1
25,Michigan State,37,28,9,0.757,15.33,8.17,14.0,4.0,15,2,8,4,2658,2361,1485.0,974,2068,0.471,187,543,0.344,523,764,0.685,487.0,1426,606,242,123,514.0,666.0,9,1
26,Illinois,33,26,7,0.788,17.2,6.29,11.0,5.0,15,1,5,4,2311,1937,1320.0,848,1853,0.458,241,668,0.361,374,582,0.643,403.0,1179,500,203,79,406.0,584.0,5,1
27,Georgia Tech,32,20,12,0.625,17.21,9.78,8.0,8.0,13,3,4,6,2371,2133,1290.0,849,1877,0.452,190,570,0.333,483,699,0.691,400.0,1248,471,265,162,483.0,648.0,4,1
28,Florida,31,24,7,0.774,21.32,7.51,12.0,4.0,14,2,8,3,2509,2081,0.0,849,1764,0.481,256,668,0.383,555,761,0.729,319.0,1145,538,271,114,451.0,589.0,0,1
29,Indiana,34,21,13,0.618,12.63,9.81,8.0,8.0,11,1,2,9,2376,2280,1375.0,788,1851,0.426,254,727,0.349,546,760,0.718,387.0,1234,470,146,175,392.0,613.0,2,1
30,Ohio State,37,24,13,0.649,13.72,7.97,10.0,8.0,17,3,4,8,2551,2300,0.0,951,2052,0.463,252,748,0.337,397,578,0.687,397.0,1303,544,243,186,494.0,537.0,7,1
31,Kansas,37,31,6,0.838,20.79,7.54,14.0,4.0,16,1,7,3,2782,2292,1505.0,985,2049,0.481,216,594,0.364,596,809,0.737,399.0,1354,575,260,247,517.0,620.0,12,1
32,Syracuse,34,28,6,0.824,16.05,7.25,14.0,4.0,16,2,8,2,2311,2012,1370.0,819,1873,0.437,167,505,0.331,506,715,0.708,446.0,1200,402,271,171,306.0,546.0,13,2
33,Marquette,31,19,12,0.613,6.48,4.12,8.0,8.0,15,3,4,7,2207,2124,1240.0,733,1714,0.428,231,575,0.402,510,683,0.747,397.0,1109,397,178,76,448.0,603.0,3,2
34,Oklahoma State,33,26,7,0.788,21.4,9.68,11.0,5.0,13,1,7,4,2583,2151,1320.0,911,1833,0.497,240,564,0.426,521,668,0.78,372.0,1121,556,242,87,453.0,599.0,4,2
35,Kansas,38,30,8,0.789,25.0,10.53,14.0,2.0,15,1,7,2,3141,2541,0.0,1182,2393,0.494,183,546,0.335,594,906,0.656,550.0,1589,653,373,192,562.0,633.0,2,2
36,Michigan State,33,28,5,0.848,25.12,9.54,13.0,3.0,17,0,7,3,2553,2039,0.0,957,1957,0.489,146,453,0.322,493,686,0.719,514.0,1404,579,210,133,451.0,611.0,1,2
37,Wichita State,36,35,1,0.972,16.65,1.74,18.0,0.0,17,0,12,0,2706,2141,1445.0,896,1942,0.461,250,713,0.351,664,916,0.725,419.0,1381,491,247,184,374.0,611.0,13,2
38,Michigan State,34,19,15,0.559,13.7,11.67,9.0,9.0,12,3,3,8,2338,2263,1375.0,817,1894,0.431,220,620,0.355,484,691,0.7,407.0,1256,509,219,167,454.0,648.0,10,2
39,UCLA,39,35,4,0.897,21.71,7.71,16.0,2.0,16,2,9,1,2867,2300,1565.0,1029,2164,0.476,214,612,0.35,595,813,0.732,492.0,1432,562,285,167,491.0,569.0,7,2
40,Michigan State,34,22,12,0.647,12.24,7.27,8.0,8.0,12,2,4,7,2520,2334,1390.0,896,1879,0.477,204,540,0.378,524,681,0.769,373.0,1212,567,214,101,478.0,627.0,5,2
41,George Mason,33,18,15,0.545,4.16,-0.05,9.0,9.0,7,7,8,8,2090,1951,0.0,790,1708,0.463,191,559,0.342,319,496,0.643,327.0,1077,463,195,85,405.0,491.0,6,2
42,Kentucky,36,27,9,0.75,20.23,8.84,13.0,5.0,17,0,4,7,2861,2451,1455.0,1028,2149,0.478,244,666,0.366,561,813,0.69,451.0,1395,512,206,207,389.0,735.0,15,2
43,UCLA,35,26,9,0.743,18.64,7.19,13.0,5.0,16,2,6,4,2642,2241,1405.0,967,1973,0.49,262,656,0.399,446,616,0.724,395.0,1151,541,292,110,440.0,598.0,8,2
44,Oklahoma,34,27,7,0.794,18.86,8.53,12.0,4.0,15,1,5,3,2392,2041,1375.0,853,1912,0.446,250,638,0.392,436,629,0.693,414.0,1251,482,237,123,412.0,619.0,2,2
45,West Virginia,33,21,12,0.636,16.15,11.03,11.0,7.0,12,2,4,6,2303,2134,1320.0,783,1826,0.429,206,611,0.337,531,747,0.711,469.0,1227,491,154,136,397.0,598.0,10,2
46,North Carolina,33,26,7,0.788,19.95,11.77,13.0,3.0,12,2,8,3,2611,2341,0.0,945,1972,0.479,189,519,0.364,532,794,0.67,411.0,1363,576,244,184,518.0,576.0,0,2
47,Louisville,34,21,13,0.618,11.26,6.5,6.0,10.0,19,3,1,8,2376,2196,1370.0,813,1905,0.427,279,787,0.355,471,667,0.706,407.0,1222,522,222,110,449.0,628.0,5,2
48,Missouri,33,22,11,0.667,14.87,10.15,9.0,7.0,14,1,3,7,2389,2233,1325.0,870,1959,0.444,252,699,0.361,397,600,0.662,437.0,1301,452,185,144,457.0,562.0,2,3
49,Oregon,32,18,14,0.563,11.68,7.65,9.0,9.0,12,3,5,7,2450,2321,1295.0,858,1788,0.48,279,711,0.392,455,656,0.694,327.0,1093,475,148,81,402.0,586.0,7,3
50,Oregon,33,23,10,0.697,14.05,6.11,10.0,8.0,14,2,5,6,2689,2427,1325.0,934,2039,0.458,291,753,0.386,530,685,0.774,377.0,1190,567,263,91,504.0,692.0,2,3
51,Pittsburgh,34,25,9,0.735,14.3,7.39,13.0,5.0,17,1,5,4,2336,2101,1390.0,809,1811,0.447,181,526,0.344,537,775,0.693,420.0,1269,536,177,139,421.0,594.0,9,3
52,Arizona,35,23,12,0.657,10.91,4.62,12.0,6.0,14,4,6,4,2416,2196,1410.0,795,1812,0.439,258,683,0.378,568,806,0.705,365.0,1130,473,195,122,446.0,588.0,11,3
53,Baylor,37,23,14,0.622,15.07,7.13,9.0,9.0,15,5,4,7,2811,2456,1489.0,1002,2178,0.46,257,728,0.353,550,796,0.691,443.0,1280,586,243,166,440.0,632.0,12,3
54,Florida,37,29,8,0.784,23.86,6.83,14.0,4.0,15,0,7,5,2642,2012,1480.0,960,2010,0.478,300,794,0.378,422,623,0.677,381.0,1179,540,265,120,401.0,518.0,12,3
55,Davidson,35,27,8,0.771,8.26,-3.33,18.0,2.0,12,3,11,3,2724,2306,1400.0,957,2194,0.436,305,859,0.355,505,722,0.699,457.0,1357,492,285,113,439.0,715.0,8,3
56,Illinois,35,27,8,0.771,23.32,11.38,13.0,3.0,13,0,7,4,2725,2307,0.0,929,2046,0.454,247,678,0.364,620,880,0.705,479.0,1400,550,269,146,524.0,772.0,1,3
57,Wisconsin,31,19,12,0.613,13.14,7.24,9.0,7.0,14,2,2,8,2205,2035,1250.0,776,1796,0.432,199,573,0.347,454,684,0.664,400.0,1124,421,165,104,359.0,534.0,5,3
58,Michigan State,39,27,12,0.692,17.46,10.0,12.0,6.0,12,4,7,4,2773,2482,1605.0,1014,2181,0.465,294,763,0.385,451,714,0.632,436.0,1458,646,203,176,441.0,738.0,14,3
59,Oklahoma,31,13,18,0.419,6.24,7.79,4.0,12.0,11,4,1,10,2235,2283,1250.0,766,1782,0.43,252,721,0.35,451,606,0.744,324.0,1066,391,180,84,382.0,505.0,9,3
60,Kansas,39,32,7,0.821,21.72,9.93,16.0,2.0,16,0,8,2,2867,2407,1565.0,1023,2169,0.472,222,643,0.345,597,863,0.692,449.0,1368,587,285,222,506.0,678.0,11,3
61,Kentucky,32,27,5,0.844,18.83,8.55,13.0,3.0,11,2,7,2,2365,2036,0.0,862,1828,0.472,204,572,0.357,437,627,0.697,371.0,1160,504,249,110,468.0,584.0,3,3
62,Louisville,33,20,13,0.606,14.08,7.99,11.0,7.0,15,4,4,7,2505,2304,1335.0,876,1960,0.447,262,777,0.337,491,700,0.701,478.0,1217,511,258,135,453.0,663.0,9,3
63,Tulsa,37,26,11,0.703,13.26,5.12,10.0,6.0,16,3,6,8,2840,2539,0.0,997,2160,0.462,288,741,0.389,558,760,0.734,442.0,1393,610,267,161,514.0,691.0,0,3
64,Wisconsin,36,26,10,0.722,19.04,8.24,12.0,6.0,14,4,7,4,2304,1915,1450.0,797,1875,0.425,285,775,0.368,425,575,0.739,349.0,1112,428,181,126,320.0,512.0,11,4
65,Ohio State,39,31,8,0.795,23.95,9.07,13.0,5.0,17,2,7,4,2913,2333,1560.0,1057,2219,0.476,199,596,0.334,600,846,0.709,447.0,1345,568,281,125,449.0,630.0,11,4
66,Duke,37,31,6,0.838,25.67,10.86,13.0,3.0,14,1,8,2,2954,2406,1490.0,1018,2161,0.471,263,722,0.364,655,890,0.736,474.0,1351,536,340,240,511.0,699.0,3,4
67,UCLA,32,23,9,0.719,17.13,12.06,14.0,4.0,12,4,8,3,2544,2382,0.0,902,1947,0.463,190,535,0.355,550,829,0.663,441.0,1219,464,249,127,515.0,670.0,1,4
68,Kentucky,34,24,10,0.706,20.27,11.06,12.0,4.0,11,1,6,6,2713,2400,0.0,988,2051,0.482,245,708,0.346,492,751,0.655,464.0,1311,539,229,151,513.0,631.0,1,4
69,Washington,33,26,7,0.788,18.08,5.96,13.0,5.0,17,2,6,3,2706,2306,1340.0,982,2087,0.471,220,602,0.365,522,697,0.749,475.0,1232,529,273,114,486.0,634.0,5,4
70,Texas A&M,36,25,11,0.694,16.2,7.46,8.0,8.0,16,4,4,5,2548,2216,0.0,909,1945,0.467,211,588,0.359,519,820,0.633,424.0,1402,486,158,145,458.0,611.0,7,4
71,Bradley,35,22,13,0.629,10.89,7.22,10.0,8.0,14,3,5,8,2616,2475,0.0,924,2011,0.459,349,831,0.42,419,618,0.678,312.0,1046,544,291,82,399.0,647.0,6,4
72,Arizona,38,33,5,0.868,23.36,9.04,15.0,3.0,18,0,8,3,2769,2225,1540.0,996,2123,0.469,204,561,0.364,573,870,0.659,465.0,1449,574,223,173,387.0,630.0,13,4
73,Auburn,28,14,14,0.5,10.32,5.89,5.0,11.0,12,5,1,8,1960,1836,1125.0,700,1598,0.438,185,543,0.341,375,566,0.663,415.0,1043,427,244,134,447.0,473.0,3,4
74,Brigham Young,35,26,9,0.743,11.25,1.55,12.0,4.0,13,3,8,3,2727,2358,1400.0,977,2099,0.465,233,679,0.343,540,771,0.7,381.0,1223,599,296,154,473.0,637.0,11,4
75,Connecticut,39,33,6,0.846,22.64,7.77,12.0,4.0,17,1,6,4,3073,2493,1565.0,1154,2403,0.48,249,619,0.402,516,828,0.623,586.0,1742,681,233,315,532.0,624.0,3,4
76,Duke,33,26,7,0.788,19.86,8.38,11.0,5.0,15,0,3,6,2677,2298,1330.0,897,1981,0.453,244,672,0.363,639,897,0.712,431.0,1206,444,286,178,462.0,698.0,2,4
77,Virginia,34,30,4,0.882,21.73,7.81,16.0,2.0,15,1,11,1,2224,1751,1370.0,804,1758,0.457,170,483,0.352,446,614,0.726,358.0,1232,430,186,143,316.0,484.0,14,4
78,Arizona,31,16,15,0.516,7.97,8.1,10.0,8.0,11,5,4,7,2229,2233,1270.0,745,1681,0.443,194,542,0.358,545,744,0.733,302.0,1062,384,186,78,436.0,595.0,9,4
79,Arizona,32,28,4,0.875,23.42,8.95,17.0,1.0,14,1,11,1,2725,2262,1300.0,973,2111,0.461,228,645,0.353,551,777,0.709,479.0,1374,569,274,136,468.0,559.0,2,4
80,Winthrop,34,22,12,0.647,3.61,-1.45,10.0,4.0,12,3,6,6,2205,1990,1365.0,795,1814,0.438,217,586,0.37,398,673,0.591,393.0,1195,435,284,124,439.0,591.0,7,5
81,Maryland,32,19,13,0.594,13.76,7.89,7.0,9.0,15,4,2,7,2620,2432,1305.0,920,2094,0.439,180,542,0.332,600,826,0.726,479.0,1385,499,267,200,513.0,609.0,4,5
82,Gonzaga,36,29,7,0.806,15.56,5.36,15.0,3.0,15,0,8,4,2761,2372,1421.0,972,1963,0.495,255,643,0.397,562,793,0.709,343.0,1291,525,235,142,419.0,659.0,13,5
83,Kentucky,31,18,13,0.581,9.19,7.09,12.0,4.0,14,4,4,6,2124,2034,1260.0,735,1566,0.469,182,493,0.369,472,644,0.733,301.0,1038,395,206,149,490.0,586.0,7,5
84,Temple,31,9,22,0.29,2.69,6.88,4.0,14.0,4,9,2,9,2291,2421,1265.0,828,1934,0.428,201,594,0.338,434,614,0.707,383.0,1102,421,180,109,327.0,573.0,13,5
85,North Carolina-Wilmington,31,24,7,0.774,8.52,-2.8,15.0,3.0,11,1,10,5,2214,1863,1250.0,801,1747,0.459,216,581,0.372,396,572,0.692,309.0,1022,456,283,58,352.0,572.0,2,5
86,North Carolina,33,26,7,0.788,19.95,11.77,13.0,3.0,12,2,8,3,2611,2341,0.0,945,1972,0.479,189,519,0.364,532,794,0.67,411.0,1363,576,244,184,518.0,576.0,1,5
87,Central Michigan,30,6,24,0.2,-9.38,1.52,2.0,16.0,5,8,1,12,2116,2411,0.0,735,1686,0.436,218,611,0.357,428,631,0.678,303.0,962,438,186,59,531.0,672.0,3,5
88,Cincinnati,33,22,11,0.667,15.19,5.25,12.0,6.0,14,3,6,6,2418,2090,1355.0,851,1980,0.43,252,725,0.348,464,658,0.705,441.0,1291,508,257,192,363.0,513.0,15,5
89,West Virginia,33,19,14,0.576,12.13,7.53,9.0,9.0,11,5,4,6,2346,2194,1355.0,838,1914,0.438,174,583,0.298,496,739,0.671,493.0,1135,477,210,85,422.0,555.0,11,5
90,Notre Dame,36,21,15,0.583,12.26,8.7,8.0,10.0,15,3,3,8,2727,2544,1445.0,988,2283,0.433,319,802,0.398,432,609,0.709,440.0,1404,601,192,95,343.0,544.0,8,5
91,Texas,34,20,14,0.588,14.0,8.12,9.0,9.0,15,3,4,7,2470,2270,1370.0,836,1927,0.434,197,601,0.328,601,820,0.733,453.0,1118,419,231,125,426.0,659.0,11,5
92,Mississippi State,34,23,11,0.676,12.55,6.05,9.0,7.0,11,2,5,5,2466,2245,1360.0,870,1958,0.444,199,590,0.337,527,792,0.665,492.0,1389,475,232,114,503.0,532.0,4,5
93,Duke,37,30,7,0.811,20.1,9.07,11.0,5.0,16,1,6,5,2867,2439,1485.0,971,2186,0.444,267,766,0.349,658,904,0.728,490.0,1348,492,311,146,454.0,671.0,8,5
94,North Carolina,38,26,12,0.684,20.63,11.76,11.0,7.0,10,5,7,4,2953,2616,1530.0,1099,2309,0.476,184,514,0.358,571,814,0.701,526.0,1541,661,251,160,481.0,738.0,14,5
95,Villanova,33,21,12,0.636,15.05,8.23,9.0,9.0,13,4,7,5,2384,2159,1325.0,796,1819,0.438,210,604,0.348,582,769,0.757,402.0,1223,450,208,125,392.0,578.0,10,5
96,Ohio,30,19,11,0.633,3.84,-0.5,10.0,8.0,13,2,5,7,2077,1935,1210.0,719,1570,0.458,218,609,0.358,421,606,0.695,330.0,986,427,255,70,424.0,502.0,5,6
97,Winthrop,31,23,8,0.742,6.28,-4.93,13.0,3.0,15,1,7,6,2276,1897,0.0,778,1735,0.448,238,658,0.362,482,697,0.692,402.0,1127,490,298,102,439.0,530.0,5,6
98,Fairleigh Dickinson,32,20,12,0.625,-3.15,-5.28,14.0,4.0,11,3,8,8,2377,2265,0.0,871,1909,0.456,208,586,0.355,427,662,0.645,377.0,1176,506,238,203,468.0,540.0,5,6
99,North Carolina-Wilmington,30,15,15,0.5,1.44,-0.46,9.0,9.0,9,3,4,10,1844,1787,1215.0,647,1584,0.408,187,554,0.338,363,537,0.676,326.0,976,360,238,38,405.0,578.0,3,6
100,Central Connecticut State,28,14,14,0.5,-8.79,-10.18,11.0,9.0,8,5,6,7,2050,2011,0.0,710,1610,0.441,155,429,0.361,475,681,0.698,419.0,1090,337,209,91,466.0,568.0,0,6
101,New Mexico,34,27,7,0.794,12.72,4.84,15.0,3.0,13,2,8,2,2516,2248,1380.0,847,1851,0.458,197,593,0.332,625,863,0.724,360.0,1296,522,162,172,361.0,577.0,13,6
102,Charlotte,32,19,13,0.594,4.72,1.97,11.0,5.0,9,6,9,6,2234,2146,1295.0,760,1898,0.4,275,745,0.369,439,672,0.653,471.0,1238,451,220,90,410.0,569.0,5,6
103,Virginia,35,23,12,0.657,12.89,4.23,11.0,7.0,20,2,3,8,2248,1945,1405.0,818,1790,0.457,213,553,0.385,399,565,0.706,298.0,1023,491,206,154,391.0,549.0,12,6
104,Oklahoma State,32,18,14,0.563,12.95,9.63,8.0,10.0,12,4,3,8,2160,2011,1290.0,733,1667,0.44,226,647,0.349,468,645,0.726,287.0,1039,366,253,156,392.0,614.0,14,6
105,Austin Peay,32,22,10,0.688,1.42,-1.38,16.0,0.0,13,0,8,8,2098,1935,1280.0,739,1673,0.442,182,556,0.327,438,632,0.693,318.0,1090,405,218,130,440.0,558.0,3,6
106,Indiana State,34,22,12,0.647,6.95,2.5,10.0,8.0,12,2,5,8,2479,2305,0.0,861,1872,0.46,213,594,0.359,544,772,0.705,334.0,1069,521,237,100,402.0,576.0,0,6
107,Coastal Carolina,33,21,12,0.636,-1.85,-4.22,12.0,6.0,14,4,7,5,2410,2196,1325.0,854,1909,0.447,244,716,0.341,458,689,0.665,377.0,1299,396,195,113,406.0,568.0,15,6
108,Florida A&M,29,14,15,0.483,-15.06,-9.24,10.0,8.0,7,3,6,11,1972,2141,0.0,702,1650,0.425,156,476,0.328,412,627,0.657,0.0,1056,328,213,41,502.0,584.0,4,6
109,Florida,32,24,8,0.75,20.18,7.12,12.0,4.0,13,3,6,4,2438,2020,1290.0,844,1751,0.482,244,626,0.39,506,716,0.707,366.0,1186,475,228,146,444.0,598.0,4,6
110,Pennsylvania,31,22,9,0.71,4.16,-1.64,13.0,1.0,12,3,9,4,2297,2100,0.0,836,1712,0.488,188,520,0.362,437,658,0.664,324.0,1024,539,263,92,433.0,573.0,6,6
111,Texas-El Paso,35,27,8,0.771,9.61,0.91,14.0,4.0,16,2,7,4,2616,2278,0.0,901,1955,0.461,208,571,0.364,606,765,0.792,386.0,1197,579,255,104,426.0,581.0,4,6
